district,club_name
3020,Venkateswara of Pithapur Raja Govt. College
3020,Vijayawada
3020,Vijayawada Elite League
3020,Vijayawada Mid-Town
3020,Vijayawada Sena
3020,Vinanda Degree College
3020,Visakha Sattelite City
3020,Vizag Champions
3020,Vizag Couples PRISM
3020,Vizag Diamonds
3020,Vizag Elite
3020,Vizag Royal Claws
3020,Vizianagarram Central Ekta
3020,Young Leaders of Sri Prakash
3020,Yuvathi of VS Lakshmi Degree College
3030,ACT-YCCE
3030,Akola Midtown
3030,Amalner
3030,Amaravati Midtown Shikhar
3030,Anjuman College Of Engineering & Technology
3030,Ashoka Center For Business And Computer Studies
3030,Asian Institute of Pharmacy Nashik
3030,Balharshah Green City
3030,Chandrapur
3030,City Premier College
3030,City Premier College of Management
3030,Dada Ramchand Bakhru Sindhu Mahavidyalaya
3030,"Datta Meghe Medical College, Nagpur"
3030,Dhanwate National College Nagpur
3030,Dharampeth M.P. Deo Memorial Science College
3030,E-Club of Phoenix Rising
3030,Gandhi City Wardha
3030,G.D. Sawant College Nashik
3030,"G H Raisoni College of Arts, Commerce and Science"
3030,G H Raisoni Law College
3030,G H Raisoni Skill Tech University
3030,G H Raisoni Skill Tech University (Science)
3030,G H Raisoni University Amravati
3030,Godavari Elite
3030,Government College of Engineering Nagpur
3030,Hinganghat
3030,Ignite Nagpur
3030,Jalgaon West
3030,JDCOEM
3030,JESITMR Nashik
3030,K.D.K. College of Engineering
3030,Khamgaon
3030,KR Pandav Mahavidyalaya
3030,KVN Naik Inst. of Pharmaceutical Education & Research (Nashik)
3030,Malegaon Vision
3030,MGV's Pharmacy College
3030,MSGCOPER Nasik Grapecity
3030,MVPS College of Physiotherapy
3030,MVP’s Dr Vasantrao Pawar Medical College Hospital & Research Center-Nashik
3030,Nagpur
3030,Nagpur Down Town
3030,Nagpur Elite
3030,Nagpur Ishanya
3030,Nagpur Jit
3030,Nagpur United
3030,Nagpur Vision
3030,Nagpur West Illuminate
3030,Namco College of Nursing and Research Institute (Nashik)
3030,Nashik
3030,Nashik Airport
3030,Nashik Nexus
3030,Nashik Nine Hills
3030,Nashik Smart City
3030,Nashik Synergy
3030,Nasik Grape Valley
3030,Nasik North
3030,Nasik Youth Force
3030,National Fire Service College
3030,N.I.T. Polytechnic
3030,Orange City Nagpur
3030,Panjabrao Deshmukh Institute of Management Technology & Research Nagpur
3030,Priyadarshini College of Engineering
3030,Raisoni Jalgaon
3030,"Rajkumar Kewalramani Kanya, Mahavidyalaya"
3030,Ramdeobaba University (RBU)
3030,RCOEM Nagpur
3030,Sadabai Raisoli Women's College
3030,Santaji Mahavidyalaya
3030,Satana Baglan
3030,Satana Pride
3030,Shri Lemdeo Patil Mahvidhyalaya
3030,Shri Mathuradas Mohota College of Science
3030,Skill Tech Visionaries
3030,Smt. Binzani Mahila Mahavidyalaya
3030,Smt. Manorambai Mundle College of Architecture
3030,Stepping Stones Nagpur
3030,St. Vincent Pallotti College of Engineering and Technology
3030,Symbiosis Law School Nagpur
3030,TGPCA
3030,Umang
3030,Visvesvaraya National Institute of Technology (VNIT) Nagpur
3030,"Vrajlal Manilal Vasant College, Nagpur"
3030,VSPM Physio
3030,Warora
3040,AcroBusiness Royals
3040,Acropolis Civil
3040,Acropolis Professionals
3040,Acropolis Royals
3040,Bhopal Marvels
3040,Bhopal Shahpura
3040,Chhindwara
3040,Chhindwara City
3040,College of Veterinary Science
3040,Eastern Hills Bhopal
3040,E-Club of Indore North
3040,E-Club of Indore Royals
3040,Everest Hills Bhopal
3040,Government College of Dentistry (Indore)
3040,Himalaya Hills Bhopal
3040,IEHE Bhopal
3040,Indore Activists
3040,Indore Adarsh Tarang
3040,Indore City-Young Leaders
3040,Indore Dynamic
3040,Indore Professionals
3040,Indore United
3040,Lake City Bhopal
3040,Madhyanchal Professional University Bhopal
3040,Manovikas Adarsh Special Educators
3040,Meghdoot Symbiosis Indore
3040,Mhow Community
3040,Nilgiri Hills Bhopal
3040,"People's College Of Dental Sciences, Bhopal"
3040,Prashanti
3040,Ratlam Legacy
3040,Sahyadri Hills Bhopal
3040,Satpura Hills Bhopal
3040,Sheshshayi College
3040,Shivalik Hills Bhopal
3040,S V V V
3040,TIT & Science Bhopal
3040,Trikuta Hills Bhopal
3040,Ujjain Greater
3040,Vindhyachal Hills Bhopal
3040,Young Uptown
3053,Achiever Point Morena
3053,Ajmer Force
3053,Alwar Hope
3053,"Aryan College, Ajmer"
3053,Bharatpur Beats
3053,Bhiwadi Falcons
3053,Bikaner
3053,Bikaner Marudhara
3053,Bikaner Thar
3053,Datia
3053,Gwalior City
3053,Gwalior Mahanagar
3053,Gwalior Shine
3053,Gwalior Youth
3053,III TM GWALIOR
3053,IIT Jodhpur
3053,Jodhana
3053,Jodhpur Jagrati
3053,Morena Mavericks
3053,Prestige Gwalior
3053,RNB Global University
3053,Swami Keshwanand Rajasthan Agricultural University
3053,Vyas Dental College and Hospital
3055,Aadarsh Ahmedabad
